NUMLS;SOB;TARTO;SUMTO;SUMTO_check;PROBLEM_FLAG
40070030;44.8;44.79;2006.59;2006.59;0
40069165;49.0;34.54;1692.46;1692.46;0
40036891;49.1;34.54;1695.91;1695.91;0
40070004;45.5;44.79;2037.95;2037.95;0
40070475;46.8;34.54;1616.47;1616.47;0
40068715;45.1;34.54;1557.75;1557.75;0
40069771;37.7;44.79;1688.58;1688.58;0
40010558;59.2;44.79;2651.57;2651.57;0
40036880;47.9;34.54;1654.47;1654.47;0
40020628;76.0;34.54;2625.04;2625.04;0
40068703;59.4;34.54;2051.68;2051.68;0
40070001;59.4;44.79;2660.53;2660.53;0
40068324;59.7;44.79;2673.96;2673.96;0
40069975;58.6;44.79;2624.69;2624.69;0
40068296;46.6;44.79;2087.21;2087.21;0
40013285;67.9;34.54;2345.27;2345.27;0
40069434;48.7;44.79;2181.27;2181.27;0
40069800;32.3;34.54;1115.64;1115.64;0
40069848;58.1;34.54;2006.77;2006.77;0
40010637;47.1;44.79;2109.61;2109.61;0
40020525;72.9;34.54;2517.97;2517.97;0
40068269;46.1;44.79;2064.82;2064.82;0
40069835;57.1;34.54;1972.23;1972.23;0
40013338;38.3;34.54;1322.88;1322.88;0
40069408;49.0;44.79;2194.71;2194.71;0
40020636;75.8;34.54;2618.13;2618.13;0
40068754;43.0;34.54;1485.22;1485.22;0
40069092;49.1;34.54;1695.91;1695.91;0
40069560;36.2;44.79;1621.4;1621.4;0
40069492;75.0;44.79;3359.25;3359.25;0
40068787;42.0;34.54;1450.68;1450.68;0
40069668;71.5;44.79;3202.49;3202.49;0
40068626;36.0;29.99;1079.64;1079.64;0
40036888;48.8;34.54;1685.55;1685.55;0
40068978;62.4;34.54;2155.3;2155.3;0
40070462;39.1;34.54;1350.51;1350.51;0
40070541;57.9;34.54;1999.87;1999.87;0
40069412;29.9;44.79;1339.22;1339.22;0
40069237;33.1;34.54;1143.27;1143.27;0
40068820;59.3;34.54;2048.22;2048.22;0
40020535;58.9;34.54;2034.41;2034.41;0
40069538;51.6;44.79;2311.16;2311.16;0
40069739;69.5;44.79;3112.91;3112.91;0
40010662;68.1;44.79;3050.2;3050.2;0
40036916;30.9;34.54;1067.29;1067.29;0
40068642;35.4;29.99;1061.65;1061.65;0
40070534;32.6;34.54;1126.0;1126.0;0
40020521;46.9;34.54;1619.93;1619.93;0
40068589;31.0;34.54;1070.74;1070.74;0
40010687;43.6;44.79;1952.84;1952.84;0
40069164;32.9;34.54;1136.37;1136.37;0
40070016;60.1;44.79;2691.88;2691.88;0
40010537;31.7;44.79;1419.84;1419.84;0
40069923;44.3;34.54;1530.12;1530.12;0
40069617;69.9;44.79;3130.82;3130.82;0
40069578;36.2;44.79;1621.4;1621.4;0
40068312;47.3;44.79;2118.57;2118.57;0
40020629;53.8;34.54;1858.25;1858.25;0
40068690;49.7;34.54;1716.64;1716.64;0
40069468;60.0;44.79;2687.4;2687.4;0
40069385;48.7;44.79;2181.27;2181.27;0
40013319;54.1;34.54;1868.61;1868.61;0
40069415;48.1;44.79;2154.4;2154.4;0
40010567;59.4;44.79;2660.53;2660.53;0
40013329;66.8;34.54;2307.27;2307.27;0
40069596;50.7;44.79;2270.85;2270.85;0
40069405;49.3;44.79;2208.15;2208.15;0
40069632;69.2;44.79;3099.47;3099.47;0
40020533;26.1;34.54;901.49;901.49;0
40010650;47.2;44.79;2114.09;2114.09;0
40068219;44.0;34.54;1519.76;1519.76;0
40068582;30.6;34.54;1056.92;1056.92;0
40010560;31.7;44.79;1419.84;1419.84;0
40070532;57.9;34.54;1999.87;1999.87;0
40069081;57.6;34.54;1989.5;1989.5;0
40010675;42.8;44.79;1917.01;1917.01;0
40020585;71.7;34.54;2476.52;2476.52;0
40069170;33.6;34.54;1160.54;1160.54;0
40013336;53.2;34.54;1837.53;1837.53;0
40023386;56.6;34.54;1954.96;1954.96;0
40068957;58.4;34.54;2017.14;2017.14;0
40069439;59.6;44.79;2669.48;2669.48;0
40069840;57.6;34.54;1989.5;1989.5;0
40036865;52.7;44.79;2360.43;2360.43;0
40069131;33.0;34.54;1139.82;1139.82;0
40069961;57.6;34.54;1989.5;1989.5;0
40069548;67.6;44.79;3027.8;3027.8;0
40068287;47.1;44.79;2109.61;2109.61;0
40069422;49.0;44.79;2194.71;2194.71;0
40069582;66.9;44.79;2996.45;2996.45;0
40068795;41.9;34.54;1447.23;1447.23;0
40069610;67.1;44.79;3005.41;3005.41;0
40069845;57.9;34.54;1999.87;1999.87;0
40069951;49.2;34.54;1699.37;1699.37;0
40070470;31.1;34.54;1074.19;1074.19;0
40069917;49.3;34.54;1702.82;1702.82;0
40070576;60.9;44.79;2727.71;2727.71;0
