Норматив отопления,Норматив отопления элек (Комнаты - Человек - Значение),Норматив ХВ,Норматив ГВ,Норматив ГВ энергия,Норматив ТКО,Норматив ТКО общ,Норматив ТКО площадь,Норматив ТКО кбм
,1 - 4 - 130,,,,,,,
,1 - 5 - 113,,,,,,,
,2 - 1 - 431,,,,,,,
,2 - 2 - 267,,,,,,,
,2 - 3 - 207,,,,,,,
,2 - 4 - 168,,,,,,,
,2 - 5 - 146,,,,,,,
,3 - 1 - 487,,,,,,,
,3 - 2 - 302,,,,,,,
,3 - 3 - 234,,,,,,,
,3 - 4 - 190,,,,,,,
,3 - 5 - 166,,,,,,,
,1 - 1 - 231,,,,,,,
,1 - 2 - 143,,,,,,,
,1 - 3 - 111,,,,,,,
,1 - 4 - 90,,,,,,,
,1 - 5 - 79,,,,,,,
,2 - 1 - 298,,,,,,,
,2 - 2 - 185,,,,,,,
,2 - 3 - 143,,,,,,,
,2 - 4 - 116,,,,,,,
,2 - 5 - 101,,,,,,,
,3 - 1 - 338,,,,,,,
,3 - 2 - 209,,,,,,,
,3 - 3 - 162,,,,,,,
,3 - 4 - 132,,,,,,,
,3 - 5 - 115,,,,,,,
,1 - 1 - 342,,,,,,,
,1 - 2 - 212,,,,,,,
,1 - 3 - 164,,,,,,,
,1 - 4 - 133,,,,,,,
,1 - 5 - 116,,,,,,,
,2 - 1 - 404,,,,,,,
,2 - 2 - 250,,,,,,,
,2 - 3 - 194,,,,,,,
,2 - 4 - 157,,,,,,,
,2 - 5 - 137,,,,,,,
,3 - 1 - 441,,,,,,,
,3 - 2 - 274,,,,,,,
,3 - 3 - 212,,,,,,,
,3 - 4 - 172,,,,,,,
,3 - 5 - 150,,,,,,,
,1 - 1 - 334,,,,,,,
,1 - 2 - 207,,,,,,,
,1 - 3 - 160,,,,,,,
,1 - 4 - 130,,,,,,,
,1 - 5 - 113,,,,,,,
,2 - 1 - 431,,,,,,,
,2 - 2 - 267,,,,,,,
,2 - 3 - 207,,,,,,,
,2 - 4 - 168,,,,,,,
,2 - 5 - 146,,,,,,,
,3 - 1 - 487,,,,,,,
,3 - 2 - 302,,,,,,,
,3 - 3 - 234,,,,,,,
,3 - 4 - 190,,,,,,,
,3 - 5 - 166,,,,,,,
,1 - 1 - 231,,,,,,,
,1 - 2 - 143,,,,,,,
,1 - 3 - 111,,,,,,,
,1 - 4 - 90,,,,,,,
,1 - 5 - 79,,,,,,,
,2 - 1 - 298,,,,,,,
,2 - 2 - 185,,,,,,,
,2 - 3 - 143,,,,,,,
,2 - 4 - 116,,,,,,,
,2 - 5 - 101,,,,,,,
,3 - 1 - 338,,,,,,,
,3 - 2 - 209,,,,,,,
,3 - 3 - 162,,,,,,,
,3 - 4 - 132,,,,,,,
,3 - 5 - 115,,,,,,,
,1 - 1 - 342,,,,,,,
,1 - 2 - 212,,,,,,,
,1 - 3 - 164,,,,,,,
,1 - 4 - 133,,,,,,,
,1 - 5 - 116,,,,,,,
,2 - 1 - 404,,,,,,,
,2 - 2 - 250,,,,,,,
,2 - 3 - 194,,,,,,,
,2 - 4 - 157,,,,,,,
,2 - 5 - 137,,,,,,,
,3 - 1 - 441,,,,,,,
,3 - 2 - 274,,,,,,,
,3 - 3 - 212,,,,,,,
,3 - 4 - 172,,,,,,,
,3 - 5 - 150,,,,,,,
,1 - 1 - 334,,,,,,,
,1 - 2 - 207,,,,,,,
,1 - 3 - 160,,,,,,,
,1 - 4 - 130,,,,,,,
,1 - 5 - 113,,,,,,,
,2 - 1 - 431,,,,,,,
,2 - 2 - 267,,,,,,,
,2 - 3 - 207,,,,,,,
,2 - 4 - 168,,,,,,,
,2 - 5 - 146,,,,,,,
,3 - 1 - 487,,,,,,,
,3 - 2 - 302,,,,,,,
,3 - 3 - 234,,,,,,,
,3 - 4 - 190,,,,,,,
,3 - 5 - 166,,,,,,,
,1 - 1 - 231,,,,,,,
,1 - 2 - 143,,,,,,,
,1 - 3 - 111,,,,,,,
,1 - 4 - 90,,,,,,,
,1 - 5 - 79,,,,,,,
,2 - 1 - 298,,,,,,,
,2 - 2 - 185,,,,,,,
,2 - 3 - 143,,,,,,,
,2 - 4 - 116,,,,,,,
,2 - 5 - 101,,,,,,,
,3 - 1 - 338,,,,,,,
,3 - 2 - 209,,,,,,,
,3 - 3 - 162,,,,,,,
,3 - 4 - 132,,,,,,,
,3 - 5 - 115,,,,,,,
,1 - 1 - 342,,,,,,,
,1 - 2 - 212,,,,,,,
,1 - 3 - 164,,,,,,,
,1 - 4 - 133,,,,,,,
,1 - 5 - 116,,,,,,,
,2 - 1 - 404,,,,,,,
,2 - 2 - 250,,,,,,,
,2 - 3 - 194,,,,,,,
,2 - 4 - 157,,,,,,,
,2 - 5 - 137,,,,,,,
,3 - 1 - 441,,,,,,,
,3 - 2 - 274,,,,,,,
,3 - 3 - 212,,,,,,,
,3 - 4 - 172,,,,,,,
,3 - 5 - 150,,,,,,,
